Province_State,Country_Region,Lat,Long,confirmed_general,confirmed_death
,Afghanistan,33.93911,67.709953,62403,2710
,Albania,41.1533,20.1683,131803,2420
,Algeria,28.0339,1.6596,124483,3343
,Andorra,42.5063,1.5218,13447,127
,Angola,-11.2027,17.8739,29146,639
,Antigua and Barbuda,17.0608,-61.7964,1238,32
,Argentina,-38.4161,-63.6167,3191097,68311
,Armenia,40.0691,45.0382,219596,4256
Australian Capital Territory,Australia,-35.4735,149.0124,124,3
New South Wales,Australia,-33.8688,151.2093,5546,54
Northern Territory,Australia,-12.4634,130.8456,167,0
Queensland,Australia,-27.4698,153.0251,1583,7
South Australia,Australia,-34.9285,138.6007,740,4
Tasmania,Australia,-42.8821,147.3272,234,13
Victoria,Australia,-37.8136,144.9631,20537,820
Western Australia,Australia,-31.9505,115.8605,1015,9
,Austria,47.5162,14.5501,632766,10413
,Azerbaijan,40.1431,47.5769,327601,4713
,Bahamas,25.025885,-78.035889,10908,214
,Bahrain,26.0275,50.55,192750,697
,Bangladesh,23.685,90.3563,776257,12005
,Barbados,13.1939,-59.5432,3950,45
,Belarus,53.7098,27.9534,370509,2652
,Belgium,50.8333,4.469936,1020332,24609
,Belize,17.1899,-88.4976,12704,323
,Benin,9.3077,2.3158,7995,101
,Bhutan,27.5142,90.4336,1247,1
,Bolivia,-16.2902,-63.5887,320209,13258
,Bosnia and Herzegovina,43.9159,17.6791,201512,8912
,Botswana,-22.3285,24.6849,49041,751
,Brazil,-14.235,-51.9253,15282705,425540
,Brunei,4.5353,114.7277,230,3
,Bulgaria,42.7339,25.4858,412157,17104
,Burkina Faso,12.2383,-1.5616,13384,164
,Burma,21.9162,95.956,142974,3210
,Burundi,-3.3731,29.9189,4208,6
,Cabo Verde,16.5388,-23.0418,26709,236
,Cambodia,11.55,104.9167,20223,131
,Cameroon,3.8480000000000003,11.5021,74946,1152
Alberta,Canada,53.9333,-116.5765,211836,2119
British Columbia,Canada,53.7267,-127.6476,136623,1624
Diamond Princess,Canada,0.0,0.0,0,1
Grand Princess,Canada,0.0,0.0,13,0
Manitoba,Canada,53.7609,-98.8139,42779,997
New Brunswick,Canada,46.5653,-66.4619,2015,41
Newfoundland and Labrador,Canada,53.1355,-57.6604,1156,6
Northwest Territories,Canada,64.8255,-124.8457,118,0
Nova Scotia,Canada,44.681999999999995,-63.7443,4152,71
Nunavut,Canada,70.2998,-83.1076,586,4
Ontario,Canada,51.2538,-85.3232,505364,8320
Prince Edward Island,Canada,46.5107,-63.4168,187,0
Quebec,Canada,52.9399,-73.5491,359456,11002
Repatriated Travellers,Canada,,,13,0
Saskatchewan,Canada,52.9399,-106.4509,43481,506
Yukon,Canada,64.2823,-135.0,84,2
,Central African Republic,6.6111,20.9394,6674,93
,Chad,15.4542,18.7322,4888,172
,Chile,-35.6751,-71.543,1256546,27356
Anhui,China,31.8257,117.2264,994,6
Beijing,China,40.1824,116.4142,1057,9
Chongqing,China,30.0572,107.874,598,6
Fujian,China,26.0789,117.9874,597,1
Gansu,China,35.7518,104.2861,193,2
Guangdong,China,23.3417,113.4244,2381,8
Guangxi,China,23.8298,108.7881,275,2
Guizhou,China,26.8154,106.8748,147,2
Hainan,China,19.1959,109.7453,188,6
Hebei,China,39.549,116.1306,1317,7
Heilongjiang,China,47.861999999999995,127.7615,1610,13
Henan,China,37.8957,114.9042,1312,22
Hong Kong,China,22.3,114.2,11812,210
Hubei,China,30.9756,112.2707,68158,4512
Hunan,China,27.6104,111.7088,1046,4
Inner Mongolia,China,44.0935,113.9448,382,1
Jiangsu,China,32.9711,119.455,721,0
Jiangxi,China,27.614,115.7221,937,1
Jilin,China,43.6661,126.1923,573,3
Liaoning,China,41.2956,122.6085,408,2
Macau,China,22.1667,113.55,49,0
Ningxia,China,37.2692,106.1655,76,0
Qinghai,China,35.7452,95.9956,18,0
Shaanxi,China,35.1917,108.8701,596,3
Shandong,China,36.3427,118.1498,880,7
Shanghai,China,31.201999999999998,121.4491,2023,7
Shanxi,China,37.5777,112.2922,251,0
Sichuan,China,30.6171,102.7103,998,3
Tianjin,China,39.3054,117.323,387,3
Tibet,China,31.6927,88.0924,1,0
Unknown,China,,,0,0
Xinjiang,China,41.1129,85.2401,980,3
Yunnan,China,24.974,101.48700000000001,348,2
Zhejiang,China,29.1832,120.0934,1347,1
,Colombia,4.5709,-74.2973,3031726,78771
,Comoros,-11.6455,43.3333,3860,146
,Congo (Brazzaville),-0.228,15.8277,11343,148
,Congo (Kinshasa),-4.0383,21.7587,30392,775
,Costa Rica,9.7489,-83.7534,273714,3456
,Cote d'Ivoire,7.54,-5.5471,46484,292
,Croatia,45.1,15.2,345623,7549
,Cuba,21.521757,-77.78116700000001,118168,755
,Cyprus,35.1264,33.4299,70098,339
,Czechia,49.8175,15.472999999999999,1646981,29749
Faroe Islands,Denmark,61.8926,-6.9118,669,1
Greenland,Denmark,71.7069,-42.6043,31,0
,Denmark,56.2639,9.5018,260913,2499
,Diamond Princess,0.0,0.0,712,13
,Djibouti,11.8251,42.5903,11369,151
,Dominica,15.415,-61.371,175,0
,Dominican Republic,18.7357,-70.1627,272809,3550
,Ecuador,-1.8312,-78.1834,402595,19286
,Egypt,26.820553000000004,30.802497999999996,239740,14033
,El Salvador,13.7942,-88.8965,70380,2164
,Equatorial Guinea,1.6508,10.2679,7694,112
,Eritrea,15.1794,39.7823,3818,12
,Estonia,58.5953,25.0136,125696,1206
,Eswatini,-26.5225,31.4659,18487,671
,Ethiopia,9.145,40.4897,263672,3911
,Fiji,-17.7134,178.065,152,3
,Finland,61.92411,25.748151,88990,927
French Guiana,France,3.9339,-53.1258,20644,106
French Polynesia,France,-17.6797,149.4068,18797,141
Guadeloupe,France,16.265,-61.551,15429,236
Martinique,France,14.6415,-61.0242,11490,87
Mayotte,France,-12.8275,45.166244,20134,170
New Caledonia,France,-20.904304999999997,165.618042,124,0
Reunion,France,-21.1151,55.5364,21451,150
Saint Barthelemy,France,17.9,-62.8333,974,1
Saint Pierre and Miquelon,France,46.8852,-56.3159,25,0
St Martin,France,18.0708,-63.0501,1773,12
Wallis and Futuna,France,-14.2938,-178.1165,445,7
,France,46.2276,2.2137,5750098,106186
,Gabon,-0.8037,11.6094,23565,143
,Gambia,13.4432,-15.3101,5934,175
,Georgia,42.3154,43.3569,324256,4336
,Germany,51.165690999999995,10.451526,3557904,85385
,Ghana,7.9465,-1.0232,93011,783
,Greece,39.0742,21.8243,367076,11141
,Grenada,12.1165,-61.678999999999995,160,1
,Guatemala,15.7835,-90.2308,236266,7776
,Guinea,9.9456,-9.6966,22719,151
,Guinea-Bissau,11.8037,-15.1804,3741,67
,Guyana,4.860416000000001,-58.93018000000001,14531,331
,Haiti,18.9712,-72.2852,13179,264
,Holy See,41.9029,12.4534,27,0
,Honduras,15.2,-86.2419,222118,5789
,Hungary,47.1625,19.5033,792879,28792
,Iceland,64.9631,-19.0208,6522,29
,India,20.593684,78.96288,23340938,254197
,Indonesia,-0.7893,113.9213,1723596,47465
,Iran,32.427908,53.68804599999999,2691352,75568
,Iraq,33.223191,43.679291,1122914,15834
,Ireland,53.1424,-7.6921,253567,4929
,Israel,31.046051000000002,34.851612,839000,6378
,Italy,41.87194,12.56738,4123230,123282
,Jamaica,18.1096,-77.2975,46821,814
,Japan,36.204824,138.252924,653363,11045
,Jordan,31.24,36.51,721853,9151
,Kazakhstan,48.0196,66.9237,401892,3382
,Kenya,-0.0236,37.9062,163976,2928
,"Korea, South",35.907757000000004,127.766922,128918,1884
,Kosovo,42.602636,20.902977,106130,2218
,Kuwait,29.311659999999996,47.481766,287199,1660
,Kyrgyzstan,41.20438,74.766098,99033,1667
,Laos,19.856270000000002,102.495496,1362,1
,Latvia,56.8796,24.6032,124960,2217
,Lebanon,33.8547,35.8623,533685,7527
,Lesotho,-29.61,28.2336,10773,319
,Liberia,6.4280550000000005,-9.429499,2114,85
,Libya,26.3351,17.228331,180692,3077
,Liechtenstein,47.14,9.55,2975,58
,Lithuania,55.1694,23.8813,259862,4053
,Luxembourg,49.8153,6.1296,68552,806
,MS Zaandam,0.0,0.0,9,2
,Madagascar,-18.766947000000002,46.869107,39351,732
,Malawi,-13.2543,34.3015,34183,1153
,Malaysia,4.210483999999999,101.97576600000001,448457,1722
,Maldives,3.2028,73.2207,38520,87
,Mali,17.570692,-3.9961660000000006,14133,506
,Malta,35.9375,14.3754,30464,417
,Marshall Islands,7.1315,171.1845,4,0
,Mauritania,21.0079,-10.9408,18691,456
,Mauritius,-20.348404000000002,57.552152,1257,17
,Mexico,23.6345,-102.5528,2368393,219323
,Micronesia,7.4256,150.5508,1,0
,Moldova,47.4116,28.3699,252949,5970
,Monaco,43.7333,7.4167,2486,32
,Mongolia,46.8625,103.8467,46448,184
,Montenegro,42.708678000000006,19.37439,98449,1545
,Morocco,31.7917,-7.0926,514164,9083
,Mozambique,-18.665695,35.529562,70267,826
,Namibia,-22.9576,18.4904,50301,696
,Nepal,28.1667,84.25,413111,4084
Aruba,Netherlands,12.5211,-69.9683,10795,104
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,1583,17
Curacao,Netherlands,12.1696,-68.99,12236,117
Sint Maarten,Netherlands,18.0425,-63.0548,2268,27
,Netherlands,52.1326,5.2913,1571398,17383
,New Zealand,-40.9006,174.886,2643,26
,Nicaragua,12.865416,-85.207229,7086,184
,Niger,17.607789,8.081666,5324,192
,Nigeria,9.082,8.6753,165515,2065
,North Macedonia,41.6086,21.7453,154222,5135
,Norway,60.472,8.4689,117495,767
,Oman,21.512583,55.923255000000005,202713,2148
,Pakistan,30.3753,69.3451,867438,19210
,Panama,8.538,-80.7821,368368,6282
,Papua New Guinea,-6.314993,143.95555,12493,130
,Paraguay,-23.4425,-58.4438,302061,7284
,Peru,-9.19,-75.0152,1853370,64373
,Philippines,12.879721,121.77401699999999,1113547,18620
,Poland,51.9194,19.1451,2838180,70336
,Portugal,39.3999,-8.2245,840008,16994
,Qatar,25.3548,51.1839,211732,516
,Romania,45.9432,24.9668,1067887,29135
,Russia,61.52401,105.31875600000001,4840948,112063
,Rwanda,-1.9403,29.8739,25773,340
,Saint Kitts and Nevis,17.357822,-62.782998,45,0
,Saint Lucia,13.9094,-60.9789,4700,75
,Saint Vincent and the Grenadines,12.9843,-61.2872,1922,12
,Samoa,-13.759,-172.1046,3,0
,San Marino,43.9424,12.4578,5083,90
,Sao Tome and Principe,0.1864,6.6131,2320,35
,Saudi Arabia,23.885942,45.079162,428369,7098
,Senegal,14.4974,-14.4524,40729,1120
,Serbia,44.0165,21.0059,702451,6594
,Seychelles,-4.6796,55.492,8172,28
,Sierra Leone,8.460555000000001,-11.779889,4089,79
,Singapore,1.2833,103.8333,61403,31
,Slovakia,48.669,19.699,386136,12077
,Slovenia,46.1512,14.9955,246725,4302
,Solomon Islands,-9.6457,160.1562,20,0
,Somalia,5.152149,46.199616,14486,753
,South Africa,-30.5595,22.9375,1599272,54896
,South Sudan,6.877000000000001,31.307,10641,115
,Spain,40.463667,-3.7492199999999998,3586333,79100
,Sri Lanka,7.873054,80.77179699999999,131098,850
,Sudan,12.8628,30.2176,34889,2446
,Suriname,3.9193,-56.0278,11306,220
,Sweden,60.128161,18.643501,1021604,14217
,Switzerland,46.8182,8.2275,675671,10721
,Syria,34.802075,38.996815000000005,23490,1670
,Taiwan*,23.7,121.0,1210,12
,Tajikistan,38.861,71.2761,13308,90
,Tanzania,-6.369028,34.888822,509,21
,Thailand,15.870032,100.992541,86924,452
,Timor-Leste,-8.874217,125.727539,3493,5
,Togo,8.6195,0.8248,13167,125
,Trinidad and Tobago,10.6918,-61.2225,13802,224
,Tunisia,33.886917,9.537499,322998,11556
,Turkey,38.9637,35.2433,5059433,43589
,US,40.0,-100.0,32778906,582837
,Uganda,1.373333,32.290275,42427,346
,Ukraine,48.3794,31.1656,2180429,48544
,United Arab Emirates,23.424076,53.847818000000004,539138,1617
Anguilla,United Kingdom,18.2206,-63.0686,109,0
Bermuda,United Kingdom,32.3078,-64.7505,2455,31
British Virgin Islands,United Kingdom,18.4207,-64.64,219,1
Cayman Islands,United Kingdom,19.3133,-81.2546,548,2
Channel Islands,United Kingdom,49.3723,-2.3644,4057,86
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,63,0
Gibraltar,United Kingdom,36.1408,-5.3536,4286,94
Isle of Man,United Kingdom,54.2361,-4.5481,1590,29
Montserrat,United Kingdom,16.742498,-62.187366000000004,20,1
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,4,0
Turks and Caicos Islands,United Kingdom,21.694000000000003,-71.7979,2404,17
,United Kingdom,55.3781,-3.4360000000000004,4439691,127629
,Uruguay,-32.5228,-55.7658,225847,3208
,Uzbekistan,41.377491,64.585262,95072,664
,Vanuatu,-15.3767,166.9592,4,1
,Venezuela,6.4238,-66.5897,210116,2320
,Vietnam,14.058323999999999,108.277199,3571,35
,West Bank and Gaza,31.9522,35.2332,302777,3393
,Yemen,15.552726999999999,48.516388,6492,1276
,Zambia,-13.133897,27.849332,92152,1258
,Zimbabwe,-19.015438,29.154857,38448,1579
